Nom_Fr,Nom_Ar,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Latitude,Longitude,Bassin_versant,Date
joumine,جوميــــــن,0.129142,7,0.090578,48.957,1.28093,37.2452,1.58429,16.4939,6.67555,29.3462,70.3536,52.7176,118.773,90.0,129.9,1.0,1983,36.9909,9.61373,418.0,2021-04-16 00:00:00
ghezala,غزالـــــــة,0.0490811,8,0.0018,7.05365,0.40243,3.24365,0.1392,1.0313,0.955746,3.08384,8.76017,8.20583,10.004,82.5,11.7,1.0,1984,37.0594,9.54582,48.0,2021-04-16 00:00:00
melah,المالح,0.0471294,33,0.04594,11.64,0.0775467,7.23592,0.77417,6.93628,1.57,8.9045,23.9373,27.48,41.0,136.0,41.0,1.0,2015,37.0359,9.41093,85.9,2021-04-16 00:00:00
tine,الطين,0.0248661,34,0.0,8.0053,0.137992,5.21001,0.21748,5.9207,1.39,,16.0953,,34.0,136.0,34.0,1.0,2017,36.8644,9.62805,276.0,2021-04-16 00:00:00
sejnane,سجنــــــان,0.159608,9,0.464552,96.2316,0.974276,83.474,6.15139,126.605,6.74178,55.8488,114.166,96.4204,134.014,86.5,137.5,1.0,1994,37.181,9.47513,367.0,2021-04-16 00:00:00
zarga,الزرقة,0.0283231,10,0.0,18.974,0.0603524,7.44719,0.1924,3.87331,2.08,19.6199,20.3893,23.302,24.0,93.0,24.0,1.0,2012,36.8824,8.69921,60.0,2021-04-16 00:00:00
kebir,الكبير,0.030914,31,0.0,6.0836,0.20352,16.6192,0.78864,14.9383,0.804585,12.7158,35.7846,6.4256,64.4,85.0,64.4,1.0,2014,36.8751,8.71699,85.2,2021-04-16 00:00:00
moula,المولى,0.030346,32,0.0,26.222,0.186283,14.3082,0.0,12.0737,0.59641,8.97412,29.9689,26.2077,26.3,110.0,26.3,1.0,2013,36.9347,8.84504,58.0,2021-04-16 00:00:00
selbarrak,سيدي البــــراق,0.668018,11,0.35025,281.383,2.89283,159.923,5.18434,65.5517,21.6344,111.19,280.266,277.761,286.514,27.0,286.514,1.0,1999,37.0261,8.93618,865.0,2021-04-16 00:00:00
ziatine,الزياتين,0.0172346,12,0.0406414,26.2532,0.189081,6.16529,0.688128,4.11433,2.35,13.5273,27.1033,29.4355,33.0,37.0,33.0,1.0,2012,37.1856,9.20109,95.0,2021-04-16 00:00:00
